Sub Topic,Title,Description,Explanation,Tags,Answer,Option,Level,Destination,correct options,mark,nMark,category
CRD BE 1,Assessment,Find the square root of 44521,Not Available,CRD BE,single,"221,219,211,229",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,Two numbers are in the ratio 4 : 5. Their LCM is 240. Find the sum of the numbers.,Not Available,CRD BE,single,"108, 120, 132, 98",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,If log10 2 = 0.3010 the value of log10 80 is:,Not Available,CRD BE,single,"1.6020,1.9030,3.9030,None of these",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,The angle between the minute hand and the hour hand of a clock when the time is 4:20 is:,Not Available,CRD BE,single,"0°,10°,5°,20°",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,"Salaries of Ravi and Sumit are in the ratio 2 : 3. If the salary of each is increased by Rs. 4000, the new ratio becomes 40 : 57. What is Sumit's salary?",Not Available,CRD BE,single,"Rs. 17000,Rs. 20000,Rs. 25500,Rs. 38000",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,"Imran started a software business by investing Rs. 50,000. After six months, Nanda joined with a capital of Rs. 80,000. After 3 years, they earned a profit of Rs. 24,500. What was Imran's share in the profit?",Not Available,CRD BE,single,"Rs. 9423,Rs. 10250,Rs. 12500,Rs. 10500",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,DEF  DEF2  DE2F2   _____  D2E2F3,Not Available,CRD BE,single,"DEF3,D3EF3,D2E3F,D2E2F2",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,Which word does NOT belong with the others?,Not Available,CRD BE,single,"parsley,basil,dill,mayonnaise",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,Applying for Seasonal Employment occurs when a person requests to be considered for a job that is dependent on a particular season or time of year. Which situation below is the best example of Applying for Seasonal Employment?,Not Available,CRD BE,single,"The ski instructors at Top of the Peak Ski School work from December through March.,Matthew prefers jobs that allow him to work outdoors.,Lucinda makes an appointment with the beach resort restaurant manager to interview for the summer waitressing position that was advertised in the newspaper.,Doug's ice cream shop stays open until 11 p.m. during the summer months.",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"Find the correct alternative which will replace the question mark?  Missing Figure:
",Not Available,CRD BE,single,"107,  285,  220,  164",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,Marathon is to race as hibernation is to,Not Available,CRD BE,single,"winter,bear,dream,sleep",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,"Arguments:
i)No. Kashmir is a beautiful state. It earns a lot of foreign exchange for India.
ii)Yes. This would help settle conflicts.",Not Available,CRD BE,single,"Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,Look at this series: 2 1 (1/2) (1/4)... What number should come next?,Not Available,CRD BE,single,"(1/3),(1/8),(2/8),(1/16)",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,"Mrs. Carson took a taxi to meet her three friends for lunch. They were waiting for her outside the restaurant when she pulled up in the car. She was so excited to see her friends that she left her tote bag in the taxi. As the taxi pulled away she and her friends took notice of the license plate number so they would be able to identify the car when they called the taxi company.
1. The four women seem to agree that the plate starts out with the letter J.
2. Three of them agree that the plate ends with 12L.
3. Three of them think that the second letter is X and a different three think that the third letter is K.
4. The four license plate numbers below represent what each of the four women thinks she saw. Which one is most likely the license plate number of the taxi?
",Not Available,CRD BE,single,"JXK 12L,JYK 12L,JXK 12I,JXX 12L",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,Milly introduced a boy as the son of the only daughter of the mother of her maternal uncle. How is Milly related to that boy?,Not Available,CRD BE,single,"Nephew,Son,Brother,Sister",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,Which of the regions in the following figure represents students who play Volleyball or Football or both but not Basketball?,Not Available,CRD BE,single,"A + D + G,A + G – D,C + D,D",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,"Choose the correct option to complete the sentence.
She is _____ MBA graduate and currently works for _____ MNC in Chennai.",Not Available,CRD BE,single,"a.an,an.a,an.an,a.the",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment," Choose the correct indirect speech.
The manager said ""Submit the report before 5 p.m.""
",Not Available,CRD BE,single,"The manager said that submit the report before 5 p.m.,The manager ordered to submit the report before 5 p.m.,The manager instructed them to submit the report before 5 p.m.,The manager told that they submit the report before 5 p.m.",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"Choose the correct tense.
By the time the interview started, all the candidates _____ their documents.",Not Available,CRD BE,single,"submitted,have submitted,had submitted,were submitting",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"Choose the correct conjunction.
_____ he worked hard he could not clear the aptitude test.
",Not Available,CRD BE,single,"Because,Although,Since,Therefore",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,"Choose the correct preposition.
The HR manager congratulated the candidate _____ his excellent performance.",Not Available,CRD BE,single,"on,for,with,at",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,"Choose the correct option based on Subject-Verb Agreement.
Each of the employees _____ required to complete the training.",Not Available,CRD BE,single,"are,were,is,have",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,Identify the odd one out.,Not Available,CRD BE,single,"Apple,Mango,Carrot,Orange",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"Choose the correct word to complete the blank.
The company is looking for candidates who are highly _____ and willing to learn new technologies.",Not Available,CRD BE,single,"adaptable,adapting,adaptation,adapt",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,Choose the word that does not belong to the group.,Not Available,CRD BE,single,"Java,Python,C++,Windows",0.3,mock,3,1,0,CRD
CRD BE 1,Assessment,"Choose the correct word to complete the sentence.
The manager asked the candidate to _____ the confidential document carefully.",Not Available,CRD BE,single,"read,reed,red,rid",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,"What will be the output of the following program?
class Test {
 	public static void main(String[] args) {
     	int x = 10;
     	System.out.println(x++ + ++x);
 	}
 }",Not Available,CRD BE,single,"20,21,22,Compilation Error",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,Which of the following statements about Java interfaces is correct?,Not Available,CRD BE,single,"An interface can have constructors.,An interface can contain static and default methods.,A class can extend multiple interfaces.,An interface cannot contain private methods.",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,"What will be the output?
class Parent {
         void display() { System.out.print(""Parent ""); }
 }
 class Child extends Parent {
         void display() { System.out.print(""Child ""); }
         public static void main(String[] args) {
             Parent obj = new Child();
             obj.display();
         }
 }",Not Available,CRD BE,single,"Parent,Child,Parent Child,Compilation Error",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,Which collection automatically removes duplicate elements while maintaining the insertion order?,Not Available,CRD BE,single,"HashSet,TreeSet,LinkedHashSet,ArrayList",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"What will happen when the following code is executed?
public class Test {
 	public static void main(String[] args) {
     	try {
         	int a = 10 / 0;
         	System.out.println(a);
     	} catch (ArithmeticException e) {
         	System.out.print(""A "");
     	} finally {
             System.out.print(""B"");
     	}
 	}
 }",Not Available,CRD BE,single,"A,B,AB,Runtime Error",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,Which of the following data structures is best suited for implementing Breadth-First Search (BFS) on a graph?,Not Available,CRD BE,single,"Stack,Queue,Priority Queue,Linked List",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,"Consider the following postfix expression:
8 3 2 * + 5 -",Not Available,CRD BE,single,"8,9,10,11",0.3,mock,1,1,0,CRD
CRD BE 1,Assessment,Which traversal of a Binary Search Tree (BST) always produces the elements in ascending order?,Not Available,CRD BE,single,"Preorder,Postorder,Inorder,Level Order",0.3,mock,2,1,0,CRD
CRD BE 1,Assessment,"A hash table uses separate chaining for collision resolution. If n elements are stored in m buckets, what is the average-case time complexity of a successful search (assuming uniform hashing)?",Not Available,CRD BE,single,"O(1 + n/m),O(log n),O(n log n),O(n²)",0.3,mock,0,1,0,CRD
CRD BE 1,Assessment,A graph has 8 vertices and 7 edges. The graph is connected and contains no cycles. What type of graph is it?,Not Available,CRD BE,single,"Complete Graph,Directed Acyclic Graph (DAG),Tree,Bipartite Graph",0.3,mock,2,1,0,CRD
